NIC;CLIENTE;DOMICILIO_SUMINISTRO;LOCALIDAD;DEPARTAMENTO;COD_POSTAL;REF_DIRECCION;NRO_FACTURA;F_VCTO_FAC;F_LECT_ANT;F_LECT_ACT;PERIODO;TARIFA;IMPORTE_NETO;IMPORTE_IVA;IMPORTE_TOTAL;COBRADO;CSMO_FACT;CSMO_FACT_PUNTA;CSMO_FACT_VALLE;CSMO_FACT_LLANO;POT_CONTRATADA;POT_DEMANDADA;POT_FACT_PUNTA;POT_FACT_VALLE;POT_FACT_LLANO;COS_FI;BAJO_FACTOR_POTENCIA;EXCESO_POTENCIA
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;935845;14/02/2020;01/01/2020;01/02/2020; 022020;T2 B MT/BT;419564,27;113282,35;569833,00;Si;0;15960;15180;47040;240;238;238;200;277;0,97;0,00;25465,18
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;965100;16/04/2020;01/03/2020;01/04/2020; 042020;T2 B MT/BT;907019,95;244895,39;1222978,00;Si;0;36630;41250;94140;299;376;376;331;345;0,96;0,00;52995,10
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;993112;16/06/2020;01/05/2020;01/06/2020; 062020;T2 B MT/BT;470237,14;126964,03;645186,00;Si;0;19350;21120;52950;220;232;232;194;269;0,99;0,00;52995,10
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;1007217;14/07/2020;01/06/2020;01/07/2020; 072020;T2 B MT/BT;374327,17;101068,34;510565,00;Si;0;11760;12180;36990;220;197;197;152;230;0,99;0,00;39230,14
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;1021402;14/08/2020;01/07/2020;01/08/2020; 082020;T2 B MT/BT;365561,46;98701,60;497597,00;Si;0;11220;12780;39750;220;158;158;121;263;0,99;0,00;33724,15
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;1050691;15/10/2020;01/09/2020;01/10/2020; 102020;T2 B MT/BT;336557,21;90870,45;458821,00;Si;0;11370;12360;34650;200;152;152;132;200;0,99;0,00;29594,66
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;1063094;13/11/2020;01/10/2020;01/11/2020; 112020;T2 B MT/BT;304802,76;82296,75;416698,00;Si;0;11100;12780;34740;200;144;144;128;200;0,99;0,00;0,00
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;1076960;14/12/2020;01/11/2020;01/12/2020; 122020;T2 B MT/BT;368491,97;99492,83;502016,00;Si;0;14370;15630;40980;240;183;183;156;219;0,99;0,00;0,00
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;1090727;15/01/2021;01/12/2020;01/01/2021; 012021;T2 B MT/BT;405027,14;109357,33;552435,00;Si;0;16380;18570;47160;240;200;200;174;250;0,99;0,00;6882,48
1505889;LA AGRICOLA S.A. ,-;LAS MARGARITAS 7087  GD081M;FRAY LUIS BELTRAN;MAIPU;5531;;1107310;18/02/2021;01/01/2021;01/02/2021; 022021;T2 B MT/BT;538866,63;145493,99;746593,00;Si;0;15150;17130;44040;240;191;191;239;267;0,99;0,00;31975,39
